Ice,category,Product Name,Milk,Whip,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Caffeine
Hot,Coffee,Brewed Coffee - Dark Roast,,,4,0.1,0,0,0,10,0,0,0,0.5,0 ,0 ,0 ,0 ,193
Hot,Coffee,Brewed Coffee - Decaf Pike Place Roast,,,4,0.1,0,0,0,10,0,0,0,0.5,0 ,0 ,0 ,0 ,20
Hot,Coffee,Brewed Coffee - Medium Roast,,,4,0.1,0,0,0,10,0,0,0,0.5,0 ,0 ,0 ,0 ,235
Hot,Coffee,Brewed Coffee - True North Blend Blonde Roast,,,4,0.1,0,0,0,10,0,0,0,0.5,0 ,0 ,0 ,0 ,270
Hot,Coffee,Caffe Misto,Nonfat,,60,0.2,0.1,0,5,70,8,0,8,6,10 ,0 ,20 ,0 ,115
Hot,Coffee,Caffe Misto,2%,,80,3,1.5,0.1,15,80,8,0,8,5,8 ,0 ,20 ,0 ,115
Hot,Coffee,Caffe Misto,Whole,,100,5,3,0.2,15,70,8,0,8,5,8 ,0 ,15 ,0 ,115
Hot,Coffee,Caffe Misto,Soy,,60,2.5,0.3,0,0,60,5,1,4,4,6 ,0 ,20 ,8 ,115
Hot,Coffee,Caffe Misto,Coconut,,60,3.5,3.5,0,0,70,6,0,5,1,0 ,0 ,0 ,0 ,115
Hot,Coffee,Clover Brewed Coffee - Dark Roast,,,10,0,0,0,0,10,0,0,0,0,0 ,0 ,0 ,0 ,280
Hot,Coffee,Clover Brewed Coffee - Light Roast,,,10,0,0,0,0,10,0,0,0,0,0 ,0 ,0 ,0 ,255
Hot,Coffee,Clover Brewed Coffee - Medium Roast,,,10,0,0,0,0,10,0,0,0,0,0 ,0 ,0 ,0 ,280
Ice,Coffee,Iced Coffee,,,60,0,0,0,0,10,15,0,15,0.2,0 ,0 ,0 ,0 ,120
Ice,Coffee,Iced Coffee with Milk,Nonfat,,80,0.1,0,0,0,30,17,0,17,2,2 ,0 ,6 ,0 ,90
Ice,Coffee,Iced Coffee with Milk,2%,,80,1,0.5,0,5,30,17,0,17,2,2 ,0 ,6 ,0 ,90
Ice,Coffee,Iced Coffee with Milk,Whole,,90,1.5,1,0,5,30,17,0,17,2,2 ,0 ,6 ,0 ,90
Ice,Coffee,Iced Coffee with Milk,Soy,,80,1,0.1,0,0,25,16,0,16,2,2 ,0 ,6 ,2 ,90
Ice,Coffee,Iced Coffee with Milk,Coconut,,80,1,1,0,0,25,17,0,16,0.3,0 ,0 ,0 ,0 ,110
Ice,Coffee,Cold Brewed Coffee,,,2,0,0,0,0,10,0,0,0,0.1,0 ,0 ,0 ,0 ,150
Ice,Coffee,Vanilla Sweet Cream Cold Brew,,,100,6,3.5,0.2,20,20,12,0,12,1,6 ,0 ,2 ,0 ,140
Hot,Espresso,Caffe Americano,,,10,0,0,0,0,10,2,0,0,1,0 ,0 ,2 ,0 ,150
Ice,Espresso,Iced Caffe Americano,,,10,0,0,0,0,10,2,0,0,1,0 ,0 ,2 ,0 ,150
Hot,Espresso,Caffe Latte,Nonfat,,100,0.2,0.2,0,5,120,15,0,14,10,15 ,0 ,30 ,0 ,75
Hot,Espresso,Caffe Latte,2%,,150,6,3.5,0.2,25,135,15,0,14,10,15 ,0 ,30 ,0 ,75
Hot,Espresso,Caffe Latte,Whole,,180,9,5,0.3,30,125,15,0,14,9,15 ,0 ,30 ,0 ,75
Hot,Espresso,Caffe Latte,Soy,,110,4.5,0.5,0,0,105,10,1,6,8,10 ,0 ,30 ,15 ,75
Hot,Espresso,Caffe Latte,Coconut,,110,7,6,0,0,120,11,0,10,1,0 ,0 ,0 ,0 ,75
Ice,Espresso,Iced Caffe Latte,Nonfat,,70,0.1,0.1,0,5,80,10,0,9,6,10 ,0 ,20 ,0 ,75
Ice,Espresso,Iced Caffe Latte,2%,,100,3.5,2,0.1,15,90,10,0,9,6,10 ,0 ,20 ,0 ,75
Ice,Espresso,Iced Caffe Latte,Whole,,120,6,3.5,0.2,20,85,10,0,9,6,8 ,0 ,20 ,0 ,75
Ice,Espresso,Iced Caffe Latte,Soy,,80,3,0.4,0,0,75,7,1,4,5,8 ,0 ,20 ,10 ,75
Ice,Espresso,Iced Caffe Latte,Coconut,,70,4,4,0,0,80,7,0,6,1,0 ,0 ,0 ,0 ,75
Hot,Espresso,Caffe Mocha,Nonfat,No Whip,190,2,1,0,5,100,32,3,27,10,15 ,0 ,30 ,25 ,95
Hot,Espresso,Caffe Mocha,Nonfat,Whip,250,8,5,0.2,25,110,34,3,28,11,20 ,0 ,30 ,25 ,95
Hot,Espresso,Caffe Mocha,2%,No Whip,230,6,4,0.2,20,115,32,3,26,10,15 ,0 ,25 ,25 ,95
Hot,Espresso,Caffe Mocha,2%,Whip,290,13,8,0.4,40,120,34,3,28,11,20 ,2 ,30 ,25 ,95
Hot,Espresso,Caffe Mocha,Whole,No Whip,250,9,6,0.2,25,105,32,3,26,10,10 ,0 ,25 ,25 ,95
Hot,Espresso,Caffe Mocha,Whole,Whip,310,16,9,0.4,45,110,34,3,28,10,20 ,0 ,25 ,25 ,95
Hot,Espresso,Caffe Mocha,Soy,No Whip,200,5,1.5,0,0,90,28,4,20,9,10 ,0 ,25 ,35 ,95
Hot,Espresso,Caffe Mocha,Soy,Whip,260,11,5,0.2,25,95,30,4,22,9,15 ,0 ,30 ,35 ,95
Hot,Espresso,Caffe Mocha,Coconut,No Whip,190,7,6,0,0,105,29,3,23,3,0 ,0 ,2 ,25 ,95
Hot,Espresso,Caffe Mocha,Coconut,Whip,250,13,10,0.2,25,110,30,3,25,3,6 ,0 ,2 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,Nonfat,No Whip,150,2,1,0,5,65,27,3,22,7,8 ,0 ,15 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,Nonfat,Whip,240,10,6,0.2,30,75,30,3,23,7,15 ,0 ,20 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,2%,No Whip,180,4.5,3,0.1,10,70,27,3,21,7,8 ,0 ,15 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,2%,Whip,260,12,8,0.4,40,80,29,3,23,7,15 ,0 ,20 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,Whole,No Whip,190,6,3.5,0.1,15,65,27,3,21,7,6 ,0 ,15 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,Whole,Whip,270,14,9,0.4,45,75,29,3,23,7,15 ,0 ,15 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,Soy,No Whip,160,4,1.5,0,0,60,25,3,18,6,6 ,0 ,15 ,30 ,95
Ice,Espresso,Iced Caffe Mocha,Soy,Whip,240,12,6,0.2,30,65,27,3,20,7,15 ,0 ,20 ,30 ,95
Ice,Espresso,Iced Caffe Mocha,Coconut,No Whip,150,5,4,0,0,65,25,3,19,3,0 ,0 ,2 ,25 ,95
Ice,Espresso,Iced Caffe Mocha,Coconut,Whip,240,13,9,0.2,30,70,27,3,22,3,10 ,0 ,2 ,25 ,95
Hot,Espresso,Cappuccino,Nonfat,,60,0.1,0.1,0,5,70,9,0,8,6,10 ,0 ,20 ,0 ,75
Hot,Espresso,Cappuccino,2%,,90,3.5,1.5,0.1,15,80,9,0,8,6,10 ,0 ,20 ,0 ,75
Hot,Espresso,Cappuccino,Whole,,110,6,3,0.2,15,75,9,0,8,6,8 ,0 ,20 ,0 ,75
Hot,Espresso,Cappuccino,Soy,,70,3,0.4,0,0,65,7,1,4,5,6 ,0 ,20 ,8 ,75
Hot,Espresso,Cappuccino,Coconut,,100,6,6,0,0,115,11,0,9,1,0 ,0 ,0 ,0 ,75
Hot,Espresso,Caramel Macchiato,Nonfat,,150,1.5,1,0,10,105,27,0,25,8,15 ,0 ,25 ,0 ,75
Hot,Espresso,Caramel Macchiato,2%,,190,6,3.5,0.2,20,120,26,0,25,8,15 ,0 ,25 ,0 ,75
Hot,Espresso,Caramel Macchiato,Whole,,210,9,5,0.2,25,110,26,0,25,8,10 ,0 ,25 ,0 ,75
Hot,Espresso,Caramel Macchiato,Soy,,160,4.5,1,0,5,95,22,1,19,6,10 ,0 ,25 ,10 ,75
Hot,Espresso,Caramel Macchiato,Coconut,,150,6,6,0,5,105,23,0,21,1,2 ,0 ,0 ,0 ,75
Ice,Espresso,Iced Caramel Macchiato,Nonfat,,140,1.5,1,0,10,100,26,0,24,7,15 ,0 ,25 ,0 ,75
Ice,Espresso,Iced Caramel Macchiato,2%,,180,5,3.5,0.2,20,110,26,0,24,7,10 ,0 ,20 ,0 ,75
Ice,Espresso,Iced Caramel Macchiato,Whole,,200,8,4.5,0.2,25,100,26,0,24,7,10 ,0 ,20 ,0 ,75
Ice,Espresso,Iced Caramel Macchiato,Soy,,160,4.5,1.5,0,5,90,22,1,19,6,10 ,0 ,25 ,10 ,75
Ice,Espresso,Iced Caramel Macchiato,Coconut,,140,6,5,0,5,95,23,0,21,1,2 ,0 ,0 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,Nonfat,No Whip,160,0.2,0.1,0,5,110,31,0,30,9,15 ,0 ,30 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,Nonfat,Whip,220,6,4,0.2,30,115,33,0,31,9,25 ,0 ,30 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,2%,No Whip,200,5,2.5,0.2,20,125,30,0,29,9,15 ,0 ,30 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,2%,Whip,270,11,6,0.3,45,130,32,0,31,9,20 ,2 ,30 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,Whole,No Whip,230,8,5,0.3,25,110,30,0,29,8,10 ,0 ,25 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,Whole,Whip,290,14,9,0.4,50,120,32,0,31,9,20 ,0 ,30 ,0 ,75
Hot,Espresso,Cinnamon Dolce Latte,Soy,No Whip,170,4,0.5,0,0,95,26,1,23,7,10 ,0 ,30 ,15 ,75
Hot,Espresso,Cinnamon Dolce Latte,Soy,Whip,240,10,4.5,0.2,20,100,28,1,25,8,15 ,0 ,30 ,15 ,75
Hot,Espresso,Cinnamon Dolce Latte,Coconut,No Whip,160,6,6,0,0,110,27,0,26,1,0 ,0 ,0 ,0 ,75
